klusters_tree_list3	obs
31	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__18389bp__000973..full
27	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__18473bp__000965..full
11	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__19091bp__000914..full
49	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__19141bp__000910..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__20217bp__000813..full
27	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__21414bp__000725..full
62	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__21454bp__000720..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__21546bp__000713..full
35	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__21931bp__000687..full
12	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__22088bp__000674..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__23314bp__000599..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__23841bp__000575..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__24764bp__000530..full
56	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__25659bp__000484..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__25758bp__000482..full
63	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__26347bp__000456..full
32	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__26635bp__000446..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__26861bp__000429..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__27301bp__000416..full
47	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__27442bp__000414..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__27659bp__000409..full
60	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__27761bp__000405..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__27778bp__000403..full
64	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__28138bp__000390..full
57	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__28162bp__000388..full
48	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__28365bp__000385..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__29172bp__000363..full
4	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__29346bp__000358..full
48	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__30225bp__000344..full
58	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__30459bp__000338..full
27	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__30599bp__000335..full
59	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__30627bp__000334..full
52	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__30634bp__000333..full
63	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__31120bp__000319..full
1	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__31192bp__000318..full
11	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__31798bp__000303..full
27	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__31925bp__000298..full
54	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__31926bp__000297..full
11	X2019.Apr.viral.fraction__viral.spades.short__as.yet.unknown__31994bp__000295..full
